tconst,directors,writers
tt0006290,nm0002177,"nm0364668,nm0454479,nm0606092"
tt0014183,nm0003226,nm0003226
tt0015155,nm0807871,"nm0117997,nm0156318"
tt0015862,nm0175410,"nm0011485,nm0494964"
tt0017136,nm0000485,"nm0902376,nm0000485"
tt0017248,nm0681726,"nm0105734,nm0681726"
tt0017843,nm0000033,"nm0002021,nm0822627"
tt0018114,nm0840042,"nm0306731,nm0292827"
tt0019195,nm0629243,"nm0938282,nm0580648,nm0014703,nm0191956,nm0547966"
tt0019249,nm0596410,nm0581721
tt0019608,nm0146709,nm0560943
tt0019689,nm0285946,"nm0163937,nm0285946,nm0878605,nm0058882"
tt0020000,nm0503777,"nm0139839,nm0669277,nm0828574"
tt0020629,nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277"
tt0021212,nm0909398,"nm0513744,nm0871270"
tt0021318,nm0826094,"nm0366801,nm0212448,nm0563030"
tt0021567,nm0920074,"nm0428177,nm0574112,nm0819799"
tt0021749,nm0000122,"nm0000122,nm0139714,nm0188357"
tt0021778,nm0064600,"nm0746168,nm0001076"
tt0021814,"nm0115218,nm0005713","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574"
tt0022268,nm0001008,"nm0151310,nm0161428,nm0728307,nm0842485"
tt0022453,nm0502752,"nm0075960,nm0168829,nm0186118,nm0280223,nm0306731,nm0330390,nm0446403,nm0545309,nm0548403,nm0680345,nm0780803,nm0875746,nm0892045,nm0896542"
tt0022478,nm0342417,"nm0186118,nm0576046"
tt0022585,nm0879802,"nm0509510,nm0618169,nm0688327"
tt0022913,nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138"
tt0023906,nm0562845,"nm0590361,nm0520501,nm0158737"
tt0023954,nm0734845,"nm0526588,nm0734845"
tt0024433,nm0502752,"nm0010973,nm0543122,nm0547966"
tt0024989,nm0002061,"nm0071657,nm0521435,nm0908550"
tt0025094,nm0767701,"nm0506349,nm0930539,nm0300745"
tt0025748,nm0949597,"nm0649478,nm0466099,nm1349729"
tt0025893,nm0368871,"nm0340719,nm0192325,nm0281213"
tt0025935,nm0215877,"nm0372942,nm0548993,nm0531269,nm0910021"
tt0025936,nm0423964,nm0638658
tt0026138,nm0001843,"nm0791217,nm0403398,nm0049721,nm0076653,nm0088662,nm0282984,nm0531878,nm0715723,nm0792670,nm1073460,nm2191908"
tt0026393,nm0445033,"nm0589316,nm0953123,nm17695169"
