_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
0,tt7587890,exact_title_type_year,matched,1
1,tt15940132,existing_imdb_id,matched,1
2,tt0413573,exact_title_type_year,matched,1
3,tt0460681,exact_title_type_year,matched,1
4,tt0944947,exact_title_type_year,matched,1
5,tt0096697,exact_title_type_year,matched,1
6,tt0460627,exact_title_type_year,matched,1
7,tt0816692,existing_imdb_id,matched,1
8,tt11737520,exact_title_type_year,matched,1
9,tt1375666,existing_imdb_id,matched,1
10,tt4574334,exact_title_type_year,matched,1
11,tt0848228,existing_imdb_id,matched,1
12,tt0182576,exact_title_type_year,matched,1
13,tt0203259,exact_title_type_year,matched,1
14,tt0468569,existing_imdb_id,matched,1
15,tt0246393,exact_title_type_year,matched,1
16,tt0111161,existing_imdb_id,matched,1
17,tt0903747,exact_title_type_year,matched,1
18,tt4154756,existing_imdb_id,matched,1
19,tt0499549,existing_imdb_id,matched,1
20,tt32357218,existing_imdb_id,matched,1
21,tt0137523,existing_imdb_id,matched,1
22,tt1431045,existing_imdb_id,matched,1
23,tt0364845,exact_title_type_year,matched,1
24,tt0412142,exact_title_type_year,matched,1
25,tt1196946,exact_title_type_year,matched,1
26,tt0110912,existing_imdb_id,matched,1
27,tt0109830,existing_imdb_id,matched,1
28,tt7286456,existing_imdb_id,matched,1
29,tt0120737,existing_imdb_id,matched,1
30,tt4154796,existing_imdb_id,matched,1
31,tt4052886,exact_title_type_year,matched,1
32,tt1520211,exact_title_type_year,matched,1
33,tt2015381,existing_imdb_id,matched,1
34,tt33362276,exact_title_type_year,matched,1
35,tt0167260,existing_imdb_id,matched,1
36,tt1853728,existing_imdb_id,matched,1
37,tt12343534,exact_title_type_year,matched,1
38,tt0133093,existing_imdb_id,matched,1
39,tt2442560,exact_title_type_year,matched,1
40,tt0120338,existing_imdb_id,matched,1
41,tt6470478,exact_title_type_year,matched,1
42,,,year_mismatch,5
43,tt0993846,existing_imdb_id,matched,1
44,tt2057880,exact_title_type_year,matched,1
45,,,not_found_correct_type,0
